Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0603_1608Metric",118.592000,-92.075000,0.000000,top
"C2","20p","C_0603_1608Metric",118.592000,-93.662500,180.000000,top
"C3","20p","C_0603_1608Metric",118.428000,-98.742500,180.000000,top
"C4","0.1u","C_0603_1608Metric",66.357500,-88.265000,180.000000,top
"C5","0.1u","C_0603_1608Metric",69.850000,-88.265000,180.000000,top
"C6","20p","C_0603_1608Metric",80.962500,-91.757500,180.000000,top
"C7","20p","C_0603_1608Metric",80.962500,-96.837500,0.000000,top
"C8","10u","C_0603_1608Metric",92.710000,-87.630000,0.000000,top
"C9","100n","C_0603_1608Metric",92.710000,-89.217500,0.000000,top
"C10","1n","C_0603_1608Metric",92.710000,-90.805000,0.000000,top
"C11","0.1u","C_0603_1608Metric",134.937500,-90.805000,0.000000,top
"C12","0.1u","C_0603_1608Metric",134.937500,-89.217500,0.000000,top
"C13","0.1u","C_0603_1608Metric",134.937500,-87.630000,0.000000,top
"C14","0.1u","C_0603_1608Metric",134.937500,-86.042500,0.000000,top
"C15","0.1u","C_0603_1608Metric",92.545000,-93.980000,180.000000,top
"D1","B5819W","D_SOD-123F",110.172000,-89.217500,270.000000,top
"D2","B5819W","D_SOD-123F",112.712500,-89.217500,270.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",71.000000,-54.000000,0.000000,top
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",63.000000,-57.000000,0.000000,top
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",63.000000,-63.000000,180.000000,top
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",71.000000,-60.000000,180.000000,top
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",71.000000,-66.000000,0.000000,top
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",63.000000,-69.000000,0.000000,top
"D9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",63.000000,-75.000000,180.000000,top
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",71.000000,-72.000000,180.000000,top
"D11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",71.000000,-78.000000,0.000000,top
"D12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",63.000000,-81.000000,0.000000,top
"D13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",92.000000,-78.000000,0.000000,top
"D14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",84.000000,-81.000000,0.000000,top
"D15","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",84.000000,-75.000000,180.000000,top
"D16","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",92.000000,-72.000000,180.000000,top
"D17","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",92.000000,-66.000000,0.000000,top
"D18","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",84.000000,-69.000000,0.000000,top
"D19","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",84.000000,-63.000000,180.000000,top
"D20","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",92.000000,-60.000000,180.000000,top
"D21","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",92.000000,-54.000000,0.000000,top
"D22","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",84.000000,-57.000000,0.000000,top
"D23","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",115.000000,-54.000000,0.000000,top
"D24","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.000000,-57.000000,0.000000,top
"D25","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.000000,-63.000000,180.000000,top
"D26","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",115.000000,-60.000000,180.000000,top
"D27","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",115.000000,-66.000000,0.000000,top
"D28","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.000000,-69.000000,0.000000,top
"D29","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.000000,-75.000000,180.000000,top
"D30","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",115.000000,-72.000000,180.000000,top
"D31","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",115.000000,-78.000000,0.000000,top
"D32","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.000000,-81.000000,0.000000,top
"D33","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",136.000000,-78.000000,0.000000,top
